Time	2.5%	5%	25%	50%	75%	95%	97.5%
1.0	-1.48	-1.24	-0.63	-0.17	0.20	0.81	1.01
2.0	-1.19	-1.01	-0.44	-0.09	0.28	0.79	0.97
3.0	-1.01	-0.82	-0.31	0.03	0.37	0.89	1.04
4.0	-0.90	-0.75	-0.26	0.08	0.43	0.87	1.00
5.0	-0.85	-0.69	-0.16	0.13	0.46	0.95	1.10
6.0	-1.05	-0.84	-0.24	0.14	0.51	1.11	1.38
7.0	-1.19	-0.94	-0.32	0.06	0.47	1.03	1.24
8.0	-1.31	-1.08	-0.47	-0.06	0.31	0.94	1.16
9.0	-1.71	-1.38	-0.74	-0.34	0.07	0.66	0.85
10.0	-2.18	-1.95	-1.20	-0.74	-0.29	0.37	0.63
11.0	-2.93	-2.61	-1.85	-1.33	-0.83	-0.08	0.18
12.0	-3.59	-3.31	-2.52	-2.00	-1.51	-0.80	-0.56
13.0	-4.49	-4.15	-3.28	-2.71	-2.20	-1.45	-1.24
14.0	-5.27	-4.88	-4.00	-3.44	-2.91	-2.18	-1.92
15.0	-6.01	-5.70	-4.72	-4.12	-3.55	-2.78	-2.53
16.0	-6.65	-6.31	-5.36	-4.70	-4.11	-3.22	-2.93
17.0	-7.37	-7.00	-5.95	-5.27	-4.63	-3.78	-3.51
18.0	-7.94	-7.52	-6.36	-5.67	-5.01	-4.14	-3.84
19.0	-8.19	-7.75	-6.63	-5.93	-5.24	-4.33	-4.09
20.0	-8.41	-8.01	-6.86	-6.14	-5.47	-4.56	-4.31
21.0	-8.57	-8.13	-6.98	-6.26	-5.57	-4.66	-4.40
22.0	-8.43	-8.09	-7.00	-6.28	-5.59	-4.71	-4.43
23.0	-8.51	-8.11	-6.98	-6.25	-5.61	-4.70	-4.40
24.0	-8.36	-8.03	-6.93	-6.23	-5.60	-4.68	-4.38
25.0	-8.23	-7.88	-6.81	-6.12	-5.45	-4.54	-4.26
26.0	-8.05	-7.71	-6.68	-5.97	-5.30	-4.36	-4.06
27.0	-8.11	-7.69	-6.63	-5.94	-5.28	-4.39	-4.08
28.0	-7.96	-7.62	-6.60	-5.89	-5.25	-4.38	-4.12
29.0	-7.99	-7.63	-6.59	-5.92	-5.28	-4.39	-4.15
30.0	-7.92	-7.54	-6.51	-5.83	-5.17	-4.26	-3.99
31.0	-7.79	-7.42	-6.41	-5.74	-5.12	-4.26	-3.98
32.0	-7.67	-7.28	-6.28	-5.63	-5.05	-4.25	-4.01
33.0	-7.53	-7.24	-6.23	-5.58	-4.96	-4.16	-3.92
34.0	-7.50	-7.22	-6.25	-5.56	-4.98	-4.14	-3.92
35.0	-7.61	-7.19	-6.20	-5.58	-4.98	-4.17	-3.92
36.0	-7.57	-7.21	-6.23	-5.59	-4.98	-4.19	-3.96
37.0	-7.64	-7.25	-6.27	-5.62	-5.02	-4.20	-3.95
38.0	-7.72	-7.35	-6.35	-5.72	-5.11	-4.27	-4.01
39.0	-7.85	-7.47	-6.41	-5.75	-5.16	-4.32	-4.11
